Substation ID,Substation Name,Nominal Voltage, Transformer Capacity,Firm Capacity,Maximum Demand (MVA),Demand Classification,Substation Class,Demand Headroom (MVA),lat,long
4038740,Conyard Road,11.0,18.75,23,8.701,GREEN,Primary,14.299,53.562792,-0.03668
4038741,Wesley Crescent,11.0,23.0,23,13.163,GREEN,Primary,9.837,53.546797,-0.032014
4038580,Burton Road,11.0,30.0,22.9,17.462,GREEN,Primary,5.437999999999999,53.570748,-1.43868
4038578,Fish Dam Lane,11.0,24.0,24,10.044,GREEN,Primary,13.956,53.581955,-1.440523
4038579,Stairfoot,11.0,24.0,24,18.6,GREEN,Primary,5.399999999999999,53.55015,-1.440122
4038534,Hope,11.0,18.75,23,4.841,GREEN,Primary,18.159,53.339296,-1.752623
4038533,Penistone,11.0,24.0,24,13.342,GREEN,Primary,10.658,53.521513,-1.616777
4038535,Wheatacre Road,11.0,12.5,8,8.01,RED,Primary,-0.009999999999999787,53.479535,-1.589698
4038782,Barrow,11.0,24.0,11.6,7.269,GREEN,Primary,4.3309999999999995,53.679481,-0.36166
4038786,Clough Lane,11.0,24.0,8,3.302,RED,Primary,4.698,53.65476,-0.247447
4038730,Eastfield Road,11.0,23.0,7,6.53,AMBER,Primary,0.46999999999999975,53.641076,-0.25841
4038731,Humber Road,11.0,23.0,23,11.194,GREEN,Primary,11.806,53.633314,-0.214921
4038732,Queens Road,11.0,40.0,37,21.429,GREEN,Primary,15.571000000000002,53.621854,-0.17674
4038539,Baslow Road,11.0,24.0,24,9.92,GREEN,Primary,14.08,53.320253,-1.524083
4038556,Dronfield,11.0,24.0,24,10.84,GREEN,Primary,13.16,53.300555,-1.464626
4038547,Greenhill,11.0,24.0,10,6.242,GREEN,Primary,3.758,53.325231,-1.484871
4038544,Millhouses,11.0,24.0,24,6.93,GREEN,Primary,17.07,53.345661,-1.495173
4038549,Woodseats,11.0,24.0,24,15.275,GREEN,Primary,8.725,53.339557,-1.479359
4038840,Keighley,11.0,30.0,39,16.96,GREEN,BSP,22.04,53.864827,-1.905964
4038695,Beal,11.0,30.0,16.2,8.21,GREEN,Primary,7.989999999999998,53.706978,-1.20989
4038687,Carr Lane,11.0,18.75,23,13.575,GREEN,Primary,9.425,53.713785,-1.341039
4038688,Smith Street,11.0,23.0,23,7.929,GREEN,Primary,15.071,53.731851,-1.338668
7395321,Pollington,11.0,30.0,8.5,6.676,RED,Primary,1.8239999999999998,53.680694,-1.059951
4038693,Weeland Road,11.0,23.0,21.1,21.04,AMBER,Primary,0.060000000000002274,53.706351,-1.241978
4038624,Abbey Road,11.0,23.0,23,13.161,GREEN,Primary,9.839,53.827995,-1.628348
4038656,Bramley,11.0,18.75,23,17.74,AMBER,Primary,5.260000000000002,53.806708,-1.624187
4038657,Farnley Crescent,11.0,24.0,24,12.6,GREEN,Primary,11.4,53.790529,-1.615564
4038634,Fir Tree Lane,11.0,23.0,23,16.374,GREEN,Primary,6.626000000000001,53.849321,-1.536254
4038625,Iveson House,11.0,18.75,23,13.849,GREEN,Primary,9.151,53.83978,-1.610509
4038626,West Park,11.0,23.0,12,8.418,GREEN,Primary,3.5820000000000007,53.838584,-1.593295
4038659,Whingate,11.0,18.75,23,6.964,GREEN,Primary,16.036,53.796394,-1.602894
4038802,Burley Street,11.0,40.0,34.8,22.654,GREEN,Primary,12.145999999999997,53.800899,-1.562775
4038628,Clarendon Road,11.0,23.0,23,13.828,GREEN,Primary,9.172,53.806147,-1.559987
4038630,Upper Basinghall Street,11.0,24.0,24,14.11,GREEN,Primary,9.89,53.799043,-1.546252
4038637,Burmantofts,11.0,18.75,23,14.01,GREEN,Primary,8.99,53.8027,-1.528707
4038638,Hillcrest,11.0,18.75,23,12.521,GREEN,Primary,10.479,53.81743,-1.514471
4038789,Knostrop,11.0,24.0,24,6.917,GREEN,Primary,17.083,53.78175,-1.49522
4038639,Pontefract Lane 1/2,11.0,23.0,23,12.747,GREEN,Primary,10.253,53.787378,-1.510038
4038643,Selby Road,11.0,18.75,23,14.897,GREEN,Primary,8.103,53.796567,-1.466844
4038641,York Road,11.0,18.75,23,18.838,AMBER,Primary,4.161999999999999,53.801444,-1.500053
4038632,Buslingthorpe Green,11.0,23.0,23,12.279,GREEN,Primary,10.721,53.813923,-1.543069
4038631,Carlton Hill,11.0,18.75,23,18.812,GREEN,Primary,4.187999999999999,53.805504,-1.544611
4038636,Leylands Road,11.0,23.0,23,14.219,GREEN,Primary,8.781,53.802844,-1.534531
4038627,Moor Road,11.0,18.75,23,20.043,AMBER,Primary,2.9570000000000007,53.827954,-1.581963
4038515,Dowker Street,11.0,23.0,24,12.489,GREEN,Primary,11.511,53.641157,-1.824799
